comparison,up_count,down_count,significant_count,non_significant_count,total_genes
HLZY_T01_salt_vs_control,0,0,0,32563,32563
HLZY_T02_salt_vs_control,0,6,6,32557,32563
HLZY_T03_salt_vs_control,4,3,7,32556,32563
HLZY_T04_salt_vs_control,0,6,6,32557,32563
HLZY_T06_salt_vs_control,0,1,1,32562,32563
HLZY_T07_salt_vs_control,14,10,24,32539,32563
HLZY_T08_salt_vs_control,0,2,2,32561,32563
HLZY_T09_salt_vs_control,0,0,0,32563,32563
HLZY_T10_salt_vs_control,127,20,147,32416,32563
HLZY_T11_salt_vs_control,241,209,450,32113,32563
HLZY_T12_salt_vs_control,188,158,346,32217,32563
HLZY_T13_salt_vs_control,1044,583,1627,30936,32563
HLZY_T14_salt_vs_control,1023,1681,2704,29859,32563
JI853_T01_salt_vs_control,1,0,1,32562,32563
JI853_T02_salt_vs_control,92,146,238,32325,32563
JI853_T03_salt_vs_control,0,0,0,32563,32563
JI853_T04_salt_vs_control,0,0,0,32563,32563
JI853_T05_salt_vs_control,1,0,1,32562,32563
JI853_T06_salt_vs_control,0,0,0,32563,32563
JI853_T07_salt_vs_control,0,0,0,32563,32563
