Source,Target,Interaction,Gene,Metabolite,PearsonR,PearsonFDR,SpearmanRho,SpearmanFDR,MIScore,ScreenSupportCount,ModelSupportCount,RRARank,EdgeWeight,Sign,EdgeTier
GRMZM2G095725,Galactinol (9TMS),association,GRMZM2G095725,Galactinol (9TMS),-0.9209829760088204,0.0,-0.8307471480206335,2.2409851752058785e-13,0.9641625592540017,3,1,6,0.8783908388084705,negative,high_confidence
GRMZM2G073969,Galactinol (9TMS),association,GRMZM2G073969,Galactinol (9TMS),-0.8742629357027362,0.0,-0.7414900888585101,1.087787146633111e-09,0.7206856911880264,3,1,8,0.8659688666544556,negative,high_confidence
GRMZM2G383699,Galactinol (9TMS),association,GRMZM2G383699,Galactinol (9TMS),0.743820826812894,3.65991781298758e-10,0.7384142173615857,1.338401418997244e-09,0.3603740566054743,2,1,7,0.8003959871374087,positive,high_confidence
GRMZM2G102959,Galactinol (9TMS),association,GRMZM2G102959,Galactinol (9TMS),-0.7227727984289273,2.0529011028354566e-09,-0.7141490088858512,7.33979513743197e-09,0.5269258277488911,2,1,1,0.7973598662738984,negative,high_confidence
AC205502.4_FG004,Galactinol (9TMS),association,AC205502.4_FG004,Galactinol (9TMS),0.5595046745591971,2.3797190801156822e-05,0.5311779081074268,8.766598344619438e-05,0.240036531321409,2,1,11,0.7528330249189968,positive,high_confidence
GRMZM2G074267,Leucine (2TMS),association,GRMZM2G074267,Leucine (2TMS),-0.8470963337284042,3.2596148002994596e-13,-0.7906356801093646,1.0946873037672351e-10,0.5789878076652033,3,1,7,0.8596547741699346,negative,high_confidence
GRMZM2G075315,Leucine (2TMS),association,GRMZM2G075315,Leucine (2TMS),0.7492630168823464,8.014787024814191e-10,0.7842105263157894,1.8370257695973383e-10,0.4926668125410165,3,1,4,0.8449929769478641,positive,high_confidence
GRMZM2G169458,Leucine (2TMS),association,GRMZM2G169458,Leucine (2TMS),-0.6964785098325748,3.2477960401341093e-08,-0.6960355434039645,6.990112358461262e-08,0.37815152010912323,3,1,5,0.8227067546166994,negative,high_confidence
GRMZM2G098999,Leucine (2TMS),association,GRMZM2G098999,Leucine (2TMS),-0.7850496494332054,4.6834145450702634e-11,-0.7375939849624064,5.0382863009828656e-09,0.2851894705015998,2,1,8,0.8104565515524406,negative,high_confidence
GRMZM2G000221,Leucine (2TMS),association,GRMZM2G000221,Leucine (2TMS),0.5393393914100855,7.024887870965794e-05,0.6308954203691048,2.237973772755119e-06,0.2631721314419231,2,1,1,0.7743905217589429,positive,high_confidence
GRMZM2G410710,Proline (2TMS),association,GRMZM2G410710,Proline (2TMS),0.9122838569685134,0.0,0.71161995898838,6.626960801067331e-08,0.46120020418453267,3,2,1,0.9780709642421282,positive,high_confidence
GRMZM2G061950,Proline (2TMS),association,GRMZM2G061950,Proline (2TMS),0.8527779573601487,0.0,0.8460697197539304,6.519229600598919e-13,0.6937535018345198,3,2,2,0.9628843583958607,positive,high_confidence
GRMZM2G084279,Proline (2TMS),association,GRMZM2G084279,Proline (2TMS),0.7828759258017709,3.4665624376207974e-11,0.6855775803144223,2.3968826763887773e-07,0.3965530037329432,2,2,3,0.9117653862287565,positive,high_confidence
GRMZM2G112524,Proline (2TMS),association,GRMZM2G112524,Proline (2TMS),0.8631160833834164,0.0,0.6381408065618595,2.3871293658928037e-06,0.5643834581499871,3,1,5,0.8645384970691483,positive,high_confidence
GRMZM2G147243,Proline (2TMS),association,GRMZM2G147243,Proline (2TMS),-0.8556362659295206,0.0,-0.5107997265892004,0.00033959348852630856,0.41327410670653864,3,1,7,0.8620482808173215,negative,high_confidence
GRMZM2G001853,Threonine (3TMS),association,GRMZM2G001853,Threonine (3TMS),0.8797510690903173,0.0,0.693054578236205,1.4385065340925188e-07,0.3862072351114634,3,1,2,0.8696085792696532,positive,high_confidence
GRMZM2G061950,Threonine (3TMS),association,GRMZM2G061950,Threonine (3TMS),0.8384935070852291,2.173076533532973e-13,0.7764183185235817,1.0017882819587005e-09,0.5929001284823778,3,1,1,0.8596233767713073,positive,high_confidence
GRMZM2G133023,Threonine (3TMS),association,GRMZM2G133023,Threonine (3TMS),0.834541312265739,3.2596148002994596e-13,0.5241285030758716,0.00019448451635816277,0.4913957469586938,3,1,7,0.856660200048878,positive,high_confidence
GRMZM2G158117,Valine (2TMS),association,GRMZM2G158117,Valine (2TMS),-0.7920617341476259,1.5277672846620945e-11,-0.7215311004784689,2.8755742281166224e-08,0.5787007437392466,3,1,2,0.8476708699840734,negative,high_confidence
GRMZM2G098999,Valine (2TMS),association,GRMZM2G098999,Valine (2TMS),-0.7901993472654801,1.840993711155047e-11,-0.7563909774436091,3.1270136702232775e-09,0.4171357779339413,3,1,11,0.8441042012880392,negative,high_confidence
